"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
2.56	0.00027	0.26	3e-05	10169	10176	10172.5	NA	NA	2.56	0.0285	0.1	NA	NA	NA	NA	NA	0.009	0.01
2.58	0.00034	0.25	3e-05	10229	10236	10232.5	NA	NA	2.58	0.029	0.1	NA	NA	NA	NA	NA	0.012	0.03
2.59	0.00043	0.25	4e-05	10269	10276	10272.5	NA	NA	2.59	0.029	0.1	NA	NA	NA	NA	NA	0.015	0.01
2.61	0.00068	0.25	7e-05	10339	10346	10342.5	NA	NA	2.61	0.029	0.1	NA	NA	NA	NA	NA	0.024	0.01
2.68	0.00039	0.24	4e-05	10559	10566	10562.5	NA	NA	2.68	0.0288	0.09	NA	NA	NA	NA	NA	0.014	0.04
2.72	0.00025	0.24	2e-05	10669	10676	10672.5	NA	NA	2.72	0.0288	0.09	NA	NA	NA	NA	NA	0.009	0.01
2.77	0.00019	0.24	2e-05	10828	10835	10831.5	NA	NA	2.77	0.0298	0.09	NA	NA	NA	NA	NA	0.006	0.01
2.79	0.00057	0.23	5e-05	10889	10896	10892.5	NA	NA	2.79	0.031	0.08	NA	NA	NA	NA	NA	0.018	0.01
2.84	0.00032	0.23	3e-05	11054	11061	11057.5	NA	NA	2.84	0.0302	0.08	NA	NA	NA	NA	NA	0.011	0.01
2.89	0.00022	0.24	2e-05	11219	11226	11222.5	NA	NA	2.89	0.0289	0.08	NA	NA	NA	NA	NA	0.008	0.01
2.92	0.00021	0.24	2e-05	11314	11321	11317.5	NA	NA	2.92	0.0289	0.08	NA	NA	NA	NA	NA	0.007	0.04
2.94	0.00033	0.24	3e-05	11378.5	11385.5	11382	NA	NA	2.94	0.0289	0.08	NA	NA	NA	NA	NA	0.011	0.02
2.96	0.00053	0.25	4e-05	11439	11446	11442.5	NA	NA	2.96	0.0282	0.08	NA	NA	NA	NA	NA	0.019	0.01
3	4e-04	0.26	3e-05	11549	11556	11552.5	NA	NA	3	0.0281	0.09	NA	NA	NA	NA	NA	0.014	0.01
3.07	0.00028	0.27	3e-05	11769	11776	11772.5	NA	NA	3.07	0.0291	0.09	NA	NA	NA	NA	NA	0.01	0.01
3.11	0.00029	0.27	3e-05	11879	11886	11882.5	NA	NA	3.11	0.029	0.09	NA	NA	NA	NA	NA	0.01	0.01
3.15	0.00026	0.28	2e-05	11989	11996	11992.5	NA	NA	3.15	0.029	0.09	NA	NA	NA	NA	NA	0.009	0.01
3.2	0.00034	0.27	3e-05	12154	12161	12157.5	NA	NA	3.2	0.0276	0.09	NA	NA	NA	NA	NA	0.012	0.01
3.26	0.00038	0.26	3e-05	12319	12326	12322.5	NA	NA	3.26	0.0271	0.08	NA	NA	NA	NA	NA	0.014	0.01
3.3	0.00034	0.26	3e-05	12429	12436	12432.5	NA	NA	3.3	0.0278	0.08	NA	NA	NA	NA	NA	0.012	0.04
3.31	0.00026	0.26	2e-05	12469	12476	12472.5	NA	NA	3.31	0.0278	0.08	NA	NA	NA	NA	NA	0.009	0.01
3.34	3e-04	0.25	2e-05	12539	12546	12542.5	NA	NA	3.34	0.0277	0.07	NA	NA	NA	NA	NA	0.011	0.01
3.4	0.00027	0.27	2e-05	12704	12711	12707.5	NA	NA	3.4	0.0278	0.08	NA	NA	NA	NA	NA	0.01	0.04
3.46	0.00031	0.28	3e-05	12869	12876	12872.5	NA	NA	3.46	0.0287	0.08	NA	NA	NA	NA	NA	0.011	0.01
3.5	0.00029	0.28	2e-05	12979	12986	12982.5	NA	NA	3.5	0.0287	0.08	NA	NA	NA	NA	NA	0.01	0.01
3.53	0.00035	0.28	3e-05	13089	13096	13092.5	NA	NA	3.53	0.0291	0.08	NA	NA	NA	NA	NA	0.012	0.01
3.6	0.00027	0.27	2e-05	13279	13286	13282.5	NA	NA	3.6	0.0295	0.07	NA	NA	NA	NA	NA	0.009	0.01
3.62	0.00034	0.27	3e-05	13334	13341	13337.5	NA	NA	3.62	0.0295	0.07	NA	NA	NA	NA	NA	0.011	0.03
3.63	0.00022	0.27	2e-05	13364	13371	13367.5	NA	NA	3.63	0.0302	0.07	NA	NA	NA	NA	NA	0.007	0.01
3.65	0.00017	0.27	1e-05	13419	13426	13422.5	NA	NA	3.65	0.0302	0.07	NA	NA	NA	NA	NA	0.006	0.01
3.66	4e-04	0.27	3e-05	13459	13466	13462.5	NA	NA	3.66	0.0302	0.07	NA	NA	NA	NA	NA	0.013	0.03
3.68	0.00045	0.28	3e-05	13529	13536	13532.5	NA	NA	3.68	0.0306	0.08	NA	NA	NA	NA	NA	0.015	0.01
3.72	0.00017	0.28	1e-05	13639	13646	13642.5	NA	NA	3.72	0.0306	0.08	NA	NA	NA	NA	NA	0.005	0.01
3.77	0.00028	0.27	2e-05	13804	13811	13807.5	NA	NA	3.77	0.0298	0.07	NA	NA	NA	NA	NA	0.009	0.01
3.83	0.00079	0.27	6e-05	13969	13976	13972.5	NA	NA	3.83	0.0287	0.07	NA	NA	NA	NA	NA	0.027	0.01
3.87	0.00022	0.26	2e-05	14079	14086	14082.5	NA	NA	3.87	0.0286	0.07	NA	NA	NA	NA	NA	0.008	0.01
3.91	0.00049	0.26	4e-05	14189	14196	14192.5	NA	NA	3.91	0.0286	0.07	NA	NA	NA	NA	NA	0.017	0.03
3.98	0.00042	0.28	3e-05	14409	14416	14412.5	NA	NA	3.98	0.029	0.07	NA	NA	NA	NA	NA	0.014	0.03
4.02	0.00054	0.27	4e-05	14519	14526	14522.5	NA	NA	4.02	0.0295	0.07	NA	NA	NA	NA	NA	0.018	0.01
4.06	0.00032	0.27	2e-05	14614	14621	14617.5	NA	NA	4.06	0.0295	0.07	NA	NA	NA	NA	NA	0.011	0.03
4.06	0.00043	0.27	3e-05	14629	14636	14632.5	NA	NA	4.06	0.0295	0.07	NA	NA	NA	NA	NA	0.015	0.01
4.1	0.00057	0.28	4e-05	14739	14746	14742.5	NA	NA	4.1	0.0292	0.07	NA	NA	NA	NA	NA	0.02	0.01
4.2	0.00067	0.27	5e-05	15014	15021	15017.5	NA	NA	4.2	0.0297	0.06	NA	NA	NA	NA	NA	0.023	0.03
4.21	0.00034	0.27	2e-05	15069	15076	15072.5	NA	NA	4.21	0.0297	0.06	NA	NA	NA	NA	NA	0.011	0.01
4.25	0.00063	0.29	4e-05	15179.5	15186.5	15183	NA	NA	4.25	0.0295	0.07	NA	NA	NA	NA	NA	0.021	0.01
4.29	0.00013	0.29	1e-05	15289	15296	15292.5	NA	NA	4.29	0.0295	0.07	NA	NA	NA	NA	NA	0.004	0.01
4.37	0.00029	0.29	2e-05	15509	15516	15512.5	NA	NA	4.37	0.0288	0.07	NA	NA	NA	NA	NA	0.01	0.03
4.41	0.00093	0.29	6e-05	15619	15626	15622.5	NA	NA	4.41	0.0288	0.07	NA	NA	NA	NA	NA	0.032	0.01
4.45	0.00026	0.29	2e-05	15729	15736	15732.5	NA	NA	4.45	0.0297	0.07	NA	NA	NA	NA	NA	0.009	0.01
4.46	0.00021	0.29	2e-05	15769	15776	15772.5	NA	NA	4.46	0.0297	0.07	NA	NA	NA	NA	NA	0.007	0.04
4.48	0.00053	0.29	3e-05	15839	15846	15842.5	NA	NA	4.48	0.0292	0.06	NA	NA	NA	NA	NA	0.018	0.01
4.56	0.00054	0.29	4e-05	16059	16066	16062.5	NA	NA	4.56	0.0284	0.06	NA	NA	NA	NA	NA	0.019	0.03
4.6	0.00037	0.3	3e-05	16169	16176	16172.5	NA	NA	4.6	0.0288	0.07	NA	NA	NA	NA	NA	0.013	0.01
4.64	0.00052	0.31	4e-05	16279	16286	16282.5	NA	NA	4.64	0.0288	0.07	NA	NA	NA	NA	NA	0.018	0.01
4.68	0.00038	0.31	3e-05	16389	16396	16392.5	NA	NA	4.68	0.0288	0.07	NA	NA	NA	NA	NA	0.013	0.01
4.74	0.00035	0.3	2e-05	16554	16561	16557.5	NA	NA	4.74	0.0283	0.06	NA	NA	NA	NA	NA	0.012	0.03
4.8	0.00011	0.3	1e-05	16719	16726	16722.5	NA	NA	4.8	0.028	0.06	NA	NA	NA	NA	NA	0.004	0.01
4.83	0.00045	0.3	3e-05	16814	16821	16817.5	NA	NA	4.83	0.028	0.06	NA	NA	NA	NA	NA	0.016	0.02
4.84	0.00023	0.29	1e-05	16829.5	16836.5	16833	NA	NA	4.84	0.029	0.06	NA	NA	NA	NA	NA	0.008	0.01
4.86	0.00035	0.29	2e-05	16884	16891	16887.5	NA	NA	4.86	0.029	0.06	NA	NA	NA	NA	NA	0.012	0.01
4.9	0.00023	0.3	1e-05	16988.5	16995.5	16992	NA	NA	4.9	0.029	0.06	NA	NA	NA	NA	NA	0.008	0.01
4.96	0.00023	0.31	2e-05	17159	17166	17162.5	NA	NA	4.96	0.0288	0.06	NA	NA	NA	NA	NA	0.008	0.03
5.03	0.00045	0.32	3e-05	17379	17386	17382.5	NA	NA	5.03	0.0283	0.06	NA	NA	NA	NA	NA	0.016	0.01
5.07	0.00016	0.33	1e-05	17489	17496	17492.5	NA	NA	5.07	0.0289	0.06	NA	NA	NA	NA	NA	0.005	0.01
5.14	0.00035	0.34	2e-05	17654	17661	17657.5	NA	NA	5.14	0.0296	0.07	NA	NA	NA	NA	NA	0.012	0.01
5.19	0.00026	0.33	2e-05	17819	17826	17822.5	NA	NA	5.19	0.0289	0.06	NA	NA	NA	NA	NA	0.009	0.01
5.21	0.00021	0.33	2e-05	17859	17866	17862.5	NA	NA	5.21	0.0289	0.06	NA	NA	NA	NA	NA	0.007	0.04
5.23	0.00031	0.33	2e-05	17930	17937	17933.5	NA	NA	5.23	0.0289	0.06	NA	NA	NA	NA	NA	0.011	0.02
5.27	0.00039	0.32	2e-05	18039	18046	18042.5	NA	NA	5.27	0.0289	0.06	NA	NA	NA	NA	NA	0.013	0.01
5.39	0.00035	0.33	2e-05	18369	18376	18372.5	NA	NA	5.39	0.0277	0.06	NA	NA	NA	NA	NA	0.013	0.01
5.43	0.00048	0.33	3e-05	18479	18486	18482.5	NA	NA	5.43	0.0263	0.06	NA	NA	NA	NA	NA	0.018	0.01
5.47	0.00042	0.33	3e-05	18589	18596	18592.5	NA	NA	5.47	0.0263	0.06	NA	NA	NA	NA	NA	0.016	0.01
5.56	0.00044	0.34	3e-05	18809	18816	18812.5	NA	NA	5.56	0.0289	0.06	NA	NA	NA	NA	NA	0.015	0.03
5.6	0.00041	0.34	3e-05	18919.5	18926.5	18923	NA	NA	5.6	0.0289	0.06	NA	NA	NA	NA	NA	0.014	0.03
5.61	0.00022	0.34	1e-05	18959	18966	18962.5	NA	NA	5.61	0.0289	0.06	NA	NA	NA	NA	NA	0.008	0.01
5.8	0.00051	0.33	3e-05	19469	19476	19472.5	NA	NA	5.8	0.0303	0.06	NA	NA	NA	NA	NA	0.017	0.01
5.83	0.00037	0.33	2e-05	19579	19586	19582.5	NA	NA	5.83	0.0303	0.06	NA	NA	NA	NA	NA	0.012	0.01
5.87	0.00036	0.35	2e-05	19689	19696	19692.5	NA	NA	5.87	0.0294	0.06	NA	NA	NA	NA	NA	0.012	0.01
5.93	0.00057	0.34	3e-05	19854	19861	19857.5	NA	NA	5.93	0.0279	0.06	NA	NA	NA	NA	NA	0.02	0.01
5.99	0.00033	0.35	2e-05	20019	20026	20022.5	NA	NA	5.99	0.0283	0.06	NA	NA	NA	NA	NA	0.012	0.01
6.03	0.00048	0.36	3e-05	20114	20121	20117.5	NA	NA	6.03	0.0283	0.06	NA	NA	NA	NA	NA	0.017	0.02
6.04	3e-04	0.36	2e-05	20134.5	20141.5	20138	NA	NA	6.04	0.0289	0.06	NA	NA	NA	NA	NA	0.01	0.03
6.07	0.00049	0.36	3e-05	20239	20246	20242.5	NA	NA	6.07	0.0289	0.06	NA	NA	NA	NA	NA	0.017	0.01
6.15	0.00037	0.38	3e-05	20459	20466	20462.5	NA	NA	6.15	0.0289	0.06	NA	NA	NA	NA	NA	0.013	0.03
6.19	0.00054	0.38	3e-05	20569	20576	20572.5	NA	NA	6.19	0.0289	0.06	NA	NA	NA	NA	NA	0.019	0.01
6.23	0.00028	0.4	2e-05	20679	20686	20682.5	NA	NA	6.23	0.0283	0.06	NA	NA	NA	NA	NA	0.01	0.01
6.27	0.00026	0.39	2e-05	20789	20796	20792.5	NA	NA	6.27	0.028	0.06	NA	NA	NA	NA	NA	0.009	0.01
6.33	0.00023	0.38	2e-05	20954	20961	20957.5	NA	NA	6.33	0.0277	0.06	NA	NA	NA	NA	NA	0.008	0.04
6.4	0.00019	0.37	1e-05	21119	21126	21122.5	NA	NA	6.4	0.0286	0.06	NA	NA	NA	NA	NA	0.007	0.01
6.43	0.00025	0.38	2e-05	21214	21221	21217.5	NA	NA	6.43	0.0286	0.06	NA	NA	NA	NA	NA	0.009	0.03
6.44	0.00026	0.38	2e-05	21229	21236	21232.5	NA	NA	6.44	0.0286	0.06	NA	NA	NA	NA	NA	0.009	0.01
6.48	0.00024	0.36	1e-05	21339	21346	21342.5	NA	NA	6.48	0.0285	0.06	NA	NA	NA	NA	NA	0.008	0.01
6.6	0.00053	0.36	3e-05	21669	21676	21672.5	NA	NA	6.6	0.0275	0.05	NA	NA	NA	NA	NA	0.019	0.01
6.64	0.00039	0.34	2e-05	21779	21786	21782.5	NA	NA	6.64	0.0279	0.05	NA	NA	NA	NA	NA	0.014	0.01
6.69	0.00107	0.34	6e-05	21889	21896	21892.5	NA	NA	6.69	0.0279	0.05	NA	NA	NA	NA	NA	0.038	0.01
6.77	0.00071	0.33	4e-05	22109	22116	22112.5	NA	NA	6.77	0.028	0.05	NA	NA	NA	NA	NA	0.025	0.02
6.81	0.00015	0.33	1e-05	22219	22226	22222.5	NA	NA	6.81	0.028	0.05	NA	NA	NA	NA	NA	0.006	0.01
6.82	0.00058	0.33	3e-05	22259	22266	22262.5	NA	NA	6.82	0.028	0.05	NA	NA	NA	NA	NA	0.021	0.02
6.87	0.00056	0.32	3e-05	22378.5	22385.5	22382	NA	NA	6.87	0.0295	0.05	NA	NA	NA	NA	NA	0.019	0.02
6.89	0.00019	0.32	1e-05	22439	22446	22442.5	NA	NA	6.89	0.0295	0.05	NA	NA	NA	NA	NA	0.006	0.01
6.95	0.00039	0.32	2e-05	22604	22611	22607.5	NA	NA	6.95	0.0282	0.05	NA	NA	NA	NA	NA	0.014	0.03
7.01	0.00039	0.3	2e-05	22769	22776	22772.5	NA	NA	7.01	0.0279	0.04	NA	NA	NA	NA	NA	0.014	0.01
7.05	0.00043	0.3	2e-05	22881.5	22888.5	22885	NA	NA	7.05	0.0279	0.04	NA	NA	NA	NA	NA	0.015	0.01
7.09	0.00033	0.31	2e-05	22989	22996	22992.5	NA	NA	7.09	0.0274	0.04	NA	NA	NA	NA	NA	0.012	0.01
7.18	0.00058	0.3	3e-05	23209	23216	23212.5	NA	NA	7.18	0.0264	0.04	NA	NA	NA	NA	NA	0.022	0.03
7.2	0.00016	0.29	1e-05	23269.5	23276.5	23273	NA	NA	7.2	0.0262	0.04	NA	NA	NA	NA	NA	0.006	0.04
7.22	0.00067	0.3	3e-05	23319	23326	23322.5	NA	NA	7.22	0.0262	0.04	NA	NA	NA	NA	NA	0.026	0.01
7.24	0.00017	0.3	1e-05	23359	23366	23362.5	NA	NA	7.24	0.0262	0.04	NA	NA	NA	NA	NA	0.007	0.04
7.27	0.00017	0.29	1e-05	23429	23436	23432.5	NA	NA	7.27	0.0283	0.04	NA	NA	NA	NA	NA	0.006	0.01
7.31	0.00054	0.29	2e-05	23539	23546	23542.5	NA	NA	7.31	0.0283	0.04	NA	NA	NA	NA	NA	0.019	0.01
7.37	0.00022	0.29	1e-05	23704	23711	23707.5	NA	NA	7.37	0.0281	0.04	NA	NA	NA	NA	NA	0.008	0.05
7.43	0.00065	0.29	3e-05	23868.5	23875.5	23872	NA	NA	7.43	0.0268	0.04	NA	NA	NA	NA	NA	0.024	0.01
7.48	0.00014	0.28	1e-05	23979	23986	23982.5	NA	NA	7.48	0.0278	0.04	NA	NA	NA	NA	NA	0.005	0.01
7.52	0.00027	0.28	1e-05	24089	24096	24092.5	NA	NA	7.52	0.0293	0.04	NA	NA	NA	NA	NA	0.009	0.01
7.58	0.00057	0.29	2e-05	24254	24261	24257.5	NA	NA	7.58	0.0296	0.04	NA	NA	NA	NA	NA	0.019	0.01
7.64	0.00018	0.29	1e-05	24419	24426	24422.5	NA	NA	7.64	0.029	0.04	NA	NA	NA	NA	NA	0.006	0.01
7.65	0.00037	0.29	2e-05	24459	24466	24462.5	NA	NA	7.65	0.029	0.04	NA	NA	NA	NA	NA	0.013	0.03
7.68	0.00055	0.29	2e-05	24529	24536	24532.5	NA	NA	7.68	0.029	0.04	NA	NA	NA	NA	NA	0.019	0.01
7.72	0.00058	0.28	2e-05	24639	24646	24642.5	NA	NA	7.72	0.029	0.04	NA	NA	NA	NA	NA	0.02	0.01
7.8	0.00067	0.27	3e-05	24859	24866	24862.5	NA	NA	7.8	0.0288	0.03	NA	NA	NA	NA	NA	0.023	0.01
7.84	0.00055	0.27	2e-05	24969	24976	24972.5	NA	NA	7.84	0.0285	0.03	NA	NA	NA	NA	NA	0.019	0.01
7.88	5e-04	0.27	2e-05	25079	25086	25082.5	NA	NA	7.88	0.0288	0.03	NA	NA	NA	NA	NA	0.017	0.01
7.92	0.00057	0.27	2e-05	25189	25196	25192.5	NA	NA	7.92	0.0288	0.03	NA	NA	NA	NA	NA	0.02	0.01
7.98	0.00053	0.29	2e-05	25354	25361	25357.5	NA	NA	7.98	0.0282	0.04	NA	NA	NA	NA	NA	0.019	0.02
8.04	0.00038	0.29	1e-05	25519	25526	25522.5	NA	NA	8.04	0.0267	0.04	NA	NA	NA	NA	NA	0.014	0.01
8.08	0.00038	0.29	2e-05	25614	25621	25617.5	NA	NA	8.08	0.0269	0.04	NA	NA	NA	NA	NA	0.014	0.02
8.09	0.00028	0.29	1e-05	25629	25636	25632.5	NA	NA	8.09	0.0269	0.04	NA	NA	NA	NA	NA	0.01	0.01
8.13	0.00061	0.3	2e-05	25739	25746	25742.5	NA	NA	8.13	0.0266	0.04	NA	NA	NA	NA	NA	0.023	0.01
8.2	0.00031	0.29	1e-05	25904	25911	25907.5	NA	NA	8.2	0.0264	0.04	NA	NA	NA	NA	NA	0.012	0.03
8.27	0.00034	0.3	1e-05	26069	26076	26072.5	NA	NA	8.27	0.0273	0.04	NA	NA	NA	NA	NA	0.013	0.01
8.31	0.00073	0.3	3e-05	26179	26186	26182.5	NA	NA	8.31	0.0273	0.04	NA	NA	NA	NA	NA	0.027	0.01
8.35	0.00157	0.32	6e-05	26289	26296	26292.5	NA	NA	8.35	0.0269	0.04	NA	NA	NA	NA	NA	0.058	0.01
8.44	0.00082	0.31	3e-05	26509	26516	26512.5	NA	NA	8.44	0.027	0.04	NA	NA	NA	NA	NA	0.03	0.02
8.48	5e-04	0.3	2e-05	26619	26626	26622.5	NA	NA	8.48	0.028	0.04	NA	NA	NA	NA	NA	0.018	0.01
8.53	0.00047	0.31	2e-05	26729.5	26736.5	26733	NA	NA	8.53	0.0285	0.04	NA	NA	NA	NA	NA	0.017	0.01
8.56	0.00056	0.32	2e-05	26824	26831	26827.5	NA	NA	8.56	0.0285	0.04	NA	NA	NA	NA	NA	0.02	0.02
8.57	0.00075	0.32	3e-05	26839	26846	26842.5	NA	NA	8.57	0.0285	0.04	NA	NA	NA	NA	NA	0.026	0.01
8.63	2e-04	0.34	1e-05	27004	27011	27007.5	NA	NA	8.63	0.0289	0.04	NA	NA	NA	NA	NA	0.007	0.04
8.69	0.00034	0.35	1e-05	27169	27176	27172.5	NA	NA	8.69	0.0289	0.04	NA	NA	NA	NA	NA	0.012	0.01
8.73	0.00032	0.34	1e-05	27279	27286	27282.5	NA	NA	8.73	0.0284	0.04	NA	NA	NA	NA	NA	0.011	0.01
8.77	0.00032	0.35	1e-05	27389	27396	27392.5	NA	NA	8.77	0.0279	0.04	NA	NA	NA	NA	NA	0.011	0.01
8.86	0.00055	0.34	3e-05	27614	27621	27617.5	NA	NA	8.86	0.0286	0.04	NA	NA	NA	NA	NA	0.019	0.03
8.88	0.00047	0.35	2e-05	27659	27666	27662.5	NA	NA	8.88	0.0286	0.04	NA	NA	NA	NA	NA	0.017	0.03
8.9	0.00044	0.35	2e-05	27719	27726	27722.5	NA	NA	8.9	0.0296	0.04	NA	NA	NA	NA	NA	0.015	0.01
8.93	0.00085	0.35	4e-05	27814	27821	27817.5	NA	NA	8.93	0.0296	0.04	NA	NA	NA	NA	NA	0.029	0.02
8.94	0.00075	0.35	3e-05	27829	27836	27832.5	NA	NA	8.94	0.0296	0.04	NA	NA	NA	NA	NA	0.026	0.01
8.98	0.00037	0.35	2e-05	27939	27946	27942.5	NA	NA	8.98	0.0296	0.04	NA	NA	NA	NA	NA	0.013	0.01
9.04	0.00042	0.34	2e-05	28104	28111	28107.5	NA	NA	9.04	0.0296	0.04	NA	NA	NA	NA	NA	0.014	0.03
9.1	0.00067	0.34	3e-05	28269	28276	28272.5	NA	NA	9.1	0.0292	0.04	NA	NA	NA	NA	NA	0.023	0.01
9.14	0.00054	0.32	2e-05	28379	28386	28382.5	NA	NA	9.14	0.0285	0.04	NA	NA	NA	NA	NA	0.019	0.01
9.18	0.00021	0.32	1e-05	28489	28496	28492.5	NA	NA	9.18	0.0285	0.04	NA	NA	NA	NA	NA	0.007	0.01
9.24	0.00052	0.32	2e-05	28654	28661	28657.5	NA	NA	9.24	0.0296	0.04	NA	NA	NA	NA	NA	0.018	0.03
9.3	0.00023	0.33	1e-05	28819	28826	28822.5	NA	NA	9.3	0.0303	0.04	NA	NA	NA	NA	NA	0.008	0.01
9.34	0.00061	0.34	2e-05	28929	28936	28932.5	NA	NA	9.34	0.0299	0.04	NA	NA	NA	NA	NA	0.02	0.01
9.38	0.00064	0.34	2e-05	29039	29046	29042.5	NA	NA	9.38	0.0307	0.04	NA	NA	NA	NA	NA	0.021	0.01
9.44	0.00058	0.33	2e-05	29204	29211	29207.5	NA	NA	9.44	0.0317	0.04	NA	NA	NA	NA	NA	0.018	0.01
9.49	0.00027	0.33	1e-05	29369	29376	29372.5	NA	NA	9.49	0.0308	0.03	NA	NA	NA	NA	NA	0.009	0.01
9.53	0.00043	0.33	2e-05	29479	29486	29482.5	NA	NA	9.53	0.0308	0.03	NA	NA	NA	NA	NA	0.014	0.01
9.57	0.00056	0.33	2e-05	29589	29596	29592.5	NA	NA	9.57	0.03	0.03	NA	NA	NA	NA	NA	0.019	0.01
9.63	0.00055	0.33	2e-05	29754	29761	29757.5	NA	NA	9.63	0.0309	0.03	NA	NA	NA	NA	NA	0.018	0.02
9.69	0.00019	0.34	1e-05	29928	29935	29931.5	NA	NA	9.69	0.0315	0.03	NA	NA	NA	NA	NA	0.006	0.05
9.72	0.00038	0.35	1e-05	30029	30036	30032.5	NA	NA	9.72	0.0322	0.04	NA	NA	NA	NA	NA	0.012	0.01
9.76	0.00036	0.35	1e-05	30139	30146	30142.5	NA	NA	9.76	0.0322	0.04	NA	NA	NA	NA	NA	0.011	0.01
9.83	0.00051	0.35	2e-05	30359	30366	30362.5	NA	NA	9.83	0.0313	0.04	NA	NA	NA	NA	NA	0.016	0.02
9.87	0.00029	0.35	1e-05	30469	30476	30472.5	NA	NA	9.87	0.0313	0.04	NA	NA	NA	NA	NA	0.009	0.01
9.91	0.00042	0.35	2e-05	30579	30586	30582.5	NA	NA	9.91	0.0301	0.04	NA	NA	NA	NA	NA	0.014	0.01
9.95	0.00053	0.35	2e-05	30689	30696	30692.5	NA	NA	9.95	0.0308	0.04	NA	NA	NA	NA	NA	0.017	0.01
10	0.00051	0.37	2e-05	30854	30861	30857.5	NA	NA	10	0.0308	0.04	NA	NA	NA	NA	NA	0.017	0.01
10.02	0.00064	0.37	2e-05	30909	30916	30912.5	NA	NA	10.02	0.0308	0.04	NA	NA	NA	NA	NA	0.021	0.01
10.04	0.00037	0.37	1e-05	30964	30971	30967.5	NA	NA	10.04	0.0308	0.04	NA	NA	NA	NA	NA	0.012	0.01
10.06	0.00033	0.38	1e-05	31019	31026	31022.5	NA	NA	10.06	0.0314	0.04	NA	NA	NA	NA	NA	0.01	0.01
