"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
9.45	0.00031	0.82	3e-05	22314	22321	22317.5	NA	NA	9.45	0.0227	0.09	NA	NA	NA	NA	NA	0.014	0.06
9.53	0.00062	0.8	6e-05	22470.5	22477.5	22474	NA	NA	9.53	0.0219	0.08	NA	NA	NA	NA	NA	0.028	0.05
9.59	0.00061	0.81	7e-05	22593.5	22600.5	22597	NA	NA	9.59	0.0219	0.08	NA	NA	NA	NA	NA	0.028	0.07
9.62	0.00081	0.79	9e-05	22652.5	22659.5	22656	NA	NA	9.62	0.022	0.08	NA	NA	NA	NA	NA	0.037	0.07
9.7	0.00048	0.8	4e-05	22802.5	22809.5	22806	NA	NA	9.7	0.0232	0.08	NA	NA	NA	NA	NA	0.021	0.04
9.8	0.00056	0.83	5e-05	23003.5	23010.5	23007	NA	NA	9.8	0.0228	0.08	NA	NA	NA	NA	NA	0.025	0.04
9.95	0.00031	0.85	3e-05	23304.5	23311.5	23308	NA	NA	9.95	0.0216	0.09	NA	NA	NA	NA	NA	0.014	0.05
9.97	0.00033	0.85	4e-05	23356.5	23363.5	23360	NA	NA	9.97	0.0216	0.09	NA	NA	NA	NA	NA	0.015	0.08
10.06	0.00026	0.83	3e-05	23531.5	23538.5	23535	NA	NA	10.06	0.0219	0.08	NA	NA	NA	NA	NA	0.012	0.08
10.08	3e-04	0.83	4e-05	23560.5	23567.5	23564	NA	NA	10.08	0.0219	0.08	NA	NA	NA	NA	NA	0.014	0.09
